index     timeStep    vehicleName         pos        speed       accel       SpaceGap  
38         4.70       veh2                 3.60       4.50       3.00       12.49      

39         4.80       veh1                 22.23      11.40      3.00       -1.00      
39         4.80       veh2                 4.08       4.80       3.00       13.15      

40         4.90       veh1                 23.40      11.70      3.00       -1.00      
40         4.90       veh2                 4.59       5.10       3.00       13.81      

41         5.00       veh1                 24.60      12.00      3.00       -1.00      
41         5.00       veh2                 5.13       5.40       3.00       14.47      

42         5.10       veh1                 25.83      12.30      3.00       -1.00      
42         5.10       veh2                 5.70       5.70       3.00       15.13      

43         5.20       veh1                 27.09      12.60      3.00       -1.00      
43         5.20       veh2                 6.30       6.00       3.00       15.79      

44         5.30       veh1                 28.38      12.90      3.00       -1.00      
44         5.30       veh2                 6.93       6.30       3.00       16.45      

45         5.40       veh1                 29.70      13.20      3.00       -1.00      
45         5.40       veh2                 7.59       6.60       3.00       17.11      
45         5.40       veh3                 0.00       0.00       0.00       2.59       

46         5.50       veh1                 31.05      13.50      3.00       -1.00      
46         5.50       veh2                 8.28       6.90       3.00       17.77      
46         5.50       veh3                 0.03       0.30       3.00       3.25       

47         5.60       veh1                 32.43      13.80      3.00       -1.00      
47         5.60       veh2                 9.00       7.20       3.00       18.43      
47         5.60       veh3                 0.09       0.60       3.00       3.91       

48         5.70       veh1                 33.84      14.10      3.00       -1.00      
48         5.70       veh2                 9.75       7.50       3.00       19.09      
48         5.70       veh3                 0.18       0.90       3.00       4.57       

49         5.80       veh1                 35.28      14.40      3.00       -1.00      
49         5.80       veh2                 10.53      7.80       3.00       19.75      
49         5.80       veh3                 0.30       1.20       3.00       5.23       

50         5.90       veh1                 36.75      14.70      3.00       -1.00      
50         5.90       veh2                 11.34      8.10       3.00       20.41      
50         5.90       veh3                 0.45       1.50       3.00       5.89       

51         6.00       veh1                 38.25      15.00      3.00       -1.00      
51         6.00       veh2                 12.18      8.40       3.00       21.07      
51         6.00       veh3                 0.63       1.80       3.00       6.55       

52         6.10       veh1                 39.78      15.30      3.00       -1.00      
52         6.10       veh2                 13.05      8.70       3.00       21.73      
52         6.10       veh3                 0.84       2.10       3.00       7.21       

53         6.20       veh1                 41.34      15.60      3.00       -1.00      
53         6.20       veh2                 13.95      9.00       3.00       22.39      
53         6.20       veh3                 1.08       2.40       3.00       7.87       

54         6.30       veh1                 42.93      15.90      3.00       -1.00      
54         6.30       veh2                 14.88      9.30       3.00       23.05      
54         6.30       veh3                 1.35       2.70       3.00       8.53       

55         6.40       veh1                 44.55      16.20      3.00       -1.00      
55         6.40       veh2                 15.84      9.60       3.00       23.71      
55         6.40       veh3                 1.65       3.00       3.00       9.19       

56         6.50       veh1                 46.20      16.50      3.00       -1.00      
56         6.50       veh2                 16.83      9.90       3.00       24.37      
56         6.50       veh3                 1.98       3.30       3.00       9.85       

57         6.60       veh1                 47.88      16.80      3.00       -1.00      
57         6.60       veh2                 17.85      10.20      3.00       25.03      
57         6.60       veh3                 2.34       3.60       3.00       10.51      

58         6.70       veh1                 49.59      17.10      3.00       -1.00      
58         6.70       veh2                 18.90      10.50      3.00       25.69      
58         6.70       veh3                 2.73       3.90       3.00       11.17      

59         6.80       veh1                 51.33      17.40      3.00       -1.00      
59         6.80       veh2                 19.98      10.80      3.00       26.35      
59         6.80       veh3                 3.15       4.20       3.00       11.83      

60         6.90       veh1                 53.02      16.90      -5.00      -1.00      
60         6.90       veh2                 21.09      11.10      3.00       26.93      
60         6.90       veh3                 3.60       4.50       3.00       12.49      

61         7.00       veh1                 54.66      16.40      -5.00      -1.00      
61         7.00       veh2                 22.23      11.40      3.00       27.43      
61         7.00       veh3                 4.08       4.80       3.00       13.15      

62         7.10       veh1                 56.25      15.90      -5.00      -1.00      
62         7.10       veh2                 23.40      11.70      3.00       27.85      
62         7.10       veh3                 4.59       5.10       3.00       13.81      

63         7.20       veh1                 57.79      15.40      -5.00      -1.00      
63         7.20       veh2                 24.60      12.00      3.00       28.19      
63         7.20       veh3                 5.13       5.40       3.00       14.47      

64         7.30       veh1                 59.28      14.90      -5.00      -1.00      
64         7.30       veh2                 25.83      12.30      3.00       28.45      
64         7.30       veh3                 5.70       5.70       3.00       15.13      

65         7.40       veh1                 60.72      14.40      -5.00      -1.00      
65         7.40       veh2                 27.09      12.60      3.00       28.63      
65         7.40       veh3                 6.30       6.00       3.00       15.79      

66         7.50       veh1                 62.11      13.90      -5.00      -1.00      
66         7.50       veh2                 28.38      12.90      3.00       28.73      
66         7.50       veh3                 6.93       6.30       3.00       16.45      

67         7.60       veh1                 63.45      13.40      -5.00      -1.00      
67         7.60       veh2                 29.70      13.20      3.00       28.75      
67         7.60       veh3                 7.59       6.60       3.00       17.11      
67         7.60       veh4                 0.00       0.00       0.00       2.59       

68         7.70       veh1                 64.74      12.90      -5.00      -1.00      
68         7.70       veh2                 31.05      13.50      3.00       28.69      
68         7.70       veh3                 8.28       6.90       3.00       17.77      
68         7.70       veh4                 0.03       0.30       3.00       3.25       

69         7.80       veh1                 65.98      12.40      -5.00      -1.00      
69         7.80       veh2                 32.43      13.80      3.00       28.55      
69         7.80       veh3                 9.00       7.20       3.00       18.43      
69         7.80       veh4                 0.09       0.60       3.00       3.91       

70         7.90       veh1                 67.17      11.90      -5.00      -1.00      
70         7.90       veh2                 33.82      13.87      0.73       28.35      
70         7.90       veh3                 9.75       7.50       3.00       19.07      
70         7.90       veh4                 0.18       0.90       3.00       4.57       

71         8.00       veh1                 68.31      11.40      -5.00      -1.00      
71         8.00       veh2                 35.17      13.55      -3.20      28.14      
71         8.00       veh3                 10.53      7.80       3.00       19.64      
71         8.00       veh4                 0.30       1.20       3.00       5.23       

72         8.10       veh1                 69.40      10.90      -5.00      -1.00      
72         8.10       veh2                 36.50      13.23      -3.18      27.90      
72         8.10       veh3                 11.34      8.10       3.00       20.16      
72         8.10       veh4                 0.45       1.50       3.00       5.89       

73         8.20       veh1                 70.44      10.40      -5.00      -1.00      
73         8.20       veh2                 37.79      12.92      -3.14      27.65      
73         8.20       veh3                 12.18      8.40       3.00       20.61      
73         8.20       veh4                 0.63       1.80       3.00       6.55       

74         8.30       veh1                 71.43      9.90       -5.00      -1.00      
74         8.30       veh2                 39.05      12.61      -3.12      27.38      
74         8.30       veh3                 13.05      8.70       3.00       21.00      
74         8.30       veh4                 0.84       2.10       3.00       7.21       

75         8.40       veh1                 72.37      9.40       -5.00      -1.00      
75         8.40       veh2                 40.28      12.30      -3.09      27.09      
75         8.40       veh3                 13.95      9.00       3.00       21.33      
75         8.40       veh4                 1.08       2.40       3.00       7.87       

76         8.50       veh1                 73.26      8.90       -5.00      -1.00      
76         8.50       veh2                 41.48      11.99      -3.05      26.78      
76         8.50       veh3                 14.88      9.30       3.00       21.60      
76         8.50       veh4                 1.35       2.70       3.00       8.53       

77         8.60       veh1                 74.10      8.40       -5.00      -1.00      
77         8.60       veh2                 42.65      11.69      -3.04      26.45      
77         8.60       veh3                 15.84      9.60       3.00       21.81      
77         8.60       veh4                 1.65       3.00       3.00       9.19       

78         8.70       veh1                 74.89      7.90       -5.00      -1.00      
78         8.70       veh2                 43.79      11.39      -2.99      26.10      
78         8.70       veh3                 16.83      9.90       3.00       21.96      
78         8.70       veh4                 1.98       3.30       3.00       9.85       

79         8.80       veh1                 75.63      7.40       -5.00      -1.00      
79         8.80       veh2                 44.90      11.09      -2.97      25.73      
79         8.80       veh3                 17.85      10.20      3.00       22.05      
79         8.80       veh4                 2.34       3.60       3.00       10.51      

80         8.90       veh1                 76.32      6.90       -5.00      -1.00      
80         8.90       veh2                 45.98      10.80      -2.94      25.34      
80         8.90       veh3                 18.90      10.50      3.00       22.08      
80         8.90       veh4                 2.73       3.90       3.00       11.17      

81         9.00       veh1                 76.96      6.40       -5.00      -1.00      
81         9.00       veh2                 47.03      10.51      -2.89      24.93      
81         9.00       veh3                 19.98      10.80      3.00       22.05      
81         9.00       veh4                 3.15       4.20       3.00       11.83      

82         9.10       veh1                 77.55      5.90       -5.00      -1.00      
82         9.10       veh2                 48.05      10.22      -2.88      24.50      
82         9.10       veh3                 21.09      11.10      3.00       21.96      
82         9.10       veh4                 3.60       4.50       3.00       12.49      

83         9.20       veh1                 78.09      5.40       -5.00      -1.00      
83         9.20       veh2                 49.04      9.94       -2.82      24.05      
83         9.20       veh3                 22.20      11.08      -0.18      21.85      
83         9.20       veh4                 4.08       4.80       3.00       13.12      

84         9.30       veh1                 78.58      4.90       -5.00      -1.00      
84         9.30       veh2                 50.01      9.66       -2.81      23.57      
84         9.30       veh3                 23.29      10.90      -1.78      21.72      
84         9.30       veh4                 4.59       5.10       3.00       13.70      
